"TOA5","Chapada_Low","CR1000X","73482","CR1000X.8.3.0","CPU:Brazil_beta_v091925v4.CR1X","49440","ClimaVue50_24hr"
"TIMESTAMP","RECORD","BattV_Min","Rain_mm_Tot","SlrFD_W_Avg","SlrTF_MJ_Tot","WS_ms_WVc(1)","WS_ms_WVc(2)","WS_ms_S_WVT","MaxWS_ms_Max","MaxWS_ms_TMx","AirT_C_Avg","AirT_C_Max","AirT_C_TMx","AirT_C_Min","AirT_C_TMn","VP_mbar_Avg","VPD_Avg","VPD_Max","VPD_TMx","VPD_Min","VPD_TMn","BP_mbar_Max","BP_mbar_TMx","BP_mbar_Min","BP_mbar_TMn","RH_site_Max","RH_site_Min","RHT_C_Max","RHT_C_Min","TiltNS_deg_Max","TiltNS_deg_TMx","TiltNS_deg_Min","TiltNS_deg_TMn","TiltWE_deg_Max","TiltWE_deg_TMx","TiltWE_deg_Min","CVMeta"
"TS","RN","Volts","mm","W/m^2","MJ/m^2","meters/second","meters/second","","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C","Deg C","mbar","pascals","pascals","pascals","pascals","pascals","mbar","mbar","mbar","mbar","%","%","Deg C","Deg C","degrees","degrees","degrees","degrees","degrees","degrees","degrees",""
"","","Min","Tot","Avg","Tot","WVc","WVc","Tot","Max","TMx","Avg","Max","TMx","Min","TMn","Avg","Avg","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","Min","Max","Min","Max","TMx","Min","TMn","Max","TMx","Min","Smp"
"2025-09-20 00:00:00",0,11.82,0,106.4,1.719936,1.751,48.28,0,6.2,"2025-09-19 16:45:20",23.31,27.6,"2025-09-19 16:45:20",19.3,"2025-09-19 21:45:20",14.40492,-145.6,-99.02204,"2025-09-19 16:45:20",-170.3905,"2025-09-19 18:45:20",897.4,"2025-09-19 22:15:20",894.7,"2025-09-19 15:45:20",0.62,0.42,30.8,19,-3.1,"2025-09-19 16:45:20",-5.2,"2025-09-19 22:45:20",4.7,"2025-09-19 18:30:20",3.5,""
"2025-09-21 00:00:00",1,11.72,0,138.9,3.922403,1.779,81.5,0,7.58,"2025-09-20 08:30:20",21.52,26.5,"2025-09-20 17:00:20",16.1,"2025-09-20 23:00:20",14.64925,"NAN","NAN","2025-09-20 18:45:10","NAN","2025-09-20 18:45:10",898.8,"2025-09-20 09:30:20",893.7,"2025-09-20 17:30:20",0.72,0.44,30.3,15.7,-2.7,"2025-09-20 17:00:20",-5.5,"2025-09-20 09:00:20",5.2,"2025-09-20 08:45:20",2,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-22 00:00:00",2,11.79,0,262.8,11.24971,1.845,17.17,0,9.02,"2025-09-21 11:00:20",24.31,30.8,"2025-09-21 15:30:20",17.2,"2025-09-21 05:00:20",14.58941,-133,-73.66607,"2025-09-21 10:15:20",-192.749,"2025-09-21 23:00:20",895.9,"2025-09-21 00:00:10",891.2,"2025-09-21 17:30:20",0.68,0.35,33.7,16.2,-3.5,"2025-09-21 16:30:20",-6,"2025-09-21 07:15:20",6.1,"2025-09-21 09:30:20",3.5,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-23 00:00:00",3,11.79,0,198.6,8.493762,2.299,281.8,0,9.44,"2025-09-22 13:15:20",23.49,28.7,"2025-09-22 15:30:20",18.6,"2025-09-22 23:00:20",19.27886,-168.5,-111.0929,"2025-09-22 13:30:20",-213.4629,"2025-09-22 06:30:20",896.5,"2025-09-22 10:30:20",892.3,"2025-09-22 15:00:20",0.84,0.5,31.2,18.6,-4.2,"2025-09-22 15:00:20",-6.4,"2025-09-22 09:15:20",6.1,"2025-09-22 08:30:20",3.9,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-24 00:00:00",4,11.8,0,195.1,8.338136,1.734,57.59,0,9.15,"2025-09-23 10:15:20",23.17,28.9,"2025-09-23 15:00:20",19.1,"2025-09-23 00:30:20",18.65926,-167.6,-82.31512,"2025-09-23 12:45:20",-214.0042,"2025-09-23 05:30:20",897.9,"2025-09-23 23:00:20",894.2,"2025-09-23 05:15:20",0.83,0.49,32.7,18.9,-3.3,"2025-09-23 16:00:20",-5.4,"2025-09-23 08:15:20",5,"2025-09-23 08:15:20",3.1,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-25 00:00:00",5,11.73,181.6,136.4,5.826251,2.736,82,0,10.72,"2025-09-24 09:45:20",22.22,26.9,"2025-09-24 15:45:20",18.5,"2025-09-24 07:30:20",19.56044,-189.9,-111.921,"2025-09-24 15:15:20",-243.8653,"2025-09-24 04:00:20",900.1,"2025-09-24 10:30:20",896,"2025-09-24 03:15:20",0.9,0.55,29.3,18.6,-4.1,"2025-09-24 12:30:20",-5.9,"2025-09-24 09:30:20",6.2,"2025-09-24 12:30:20",3.7,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-26 00:00:00",6,11.78,90.8,249.8,10.69495,3.215,70.34,0,13.62,"2025-09-25 02:00:20",22.76,27.9,"2025-09-25 14:30:20",17.6,"2025-09-25 04:30:20",16.71705,-147.3,-74.60944,"2025-09-25 10:30:20",-210.2445,"2025-09-25 06:30:20",898.8,"2025-09-25 10:00:20",895.8,"2025-09-25 15:15:20",0.88,0.4,30.1,17.6,-4.1,"2025-09-25 16:00:20",-6.4,"2025-09-25 04:15:20",7.4,"2025-09-25 07:00:20",2.7,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-27 00:00:00",7,11.8,0,274.9,11.76298,3.208,71.89,0,12.73,"2025-09-26 07:30:20",22.55,28.2,"2025-09-26 15:00:20",17,"2025-09-26 21:15:20",14.98139,-126.2,-71.65617,"2025-09-26 14:30:20",-178.968,"2025-09-26 22:00:20",899,"2025-09-26 10:30:20",894.4,"2025-09-26 16:15:20",0.71,0.42,31.4,16.6,-3,"2025-09-26 16:45:20",-6.4,"2025-09-26 07:15:20",6.7,"2025-09-26 08:15:20",2.9,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-28 00:00:00",8,11.77,0,262.5,11.21992,3.302,81.4,0,11.05,"2025-09-27 09:30:20",22.18,27.9,"2025-09-27 14:00:20",17,"2025-09-27 05:45:20",13.94281,-119.6,-70.12775,"2025-09-27 12:30:20",-158.9407,"2025-09-27 00:30:20",899,"2025-09-27 09:15:20",895,"2025-09-27 02:30:20",0.69,0.39,30.4,16.7,-4.1,"2025-09-27 15:45:20",-6.8,"2025-09-27 09:15:20",6,"2025-09-27 08:45:20",3.4,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-29 00:00:00",9,11.78,0,308,13.16857,2.754,79.11,0,10.63,"2025-09-28 00:15:20",24.75,30.4,"2025-09-28 15:45:20",19.8,"2025-09-28 03:15:20",11.02546,-93.9,-43.87071,"2025-09-28 15:00:20",-140.7784,"2025-09-28 01:15:20",898.6,"2025-09-28 09:30:20",894.9,"2025-09-28 16:00:20",0.51,0.25,33.6,19.1,-3.2,"2025-09-28 16:00:20",-6.6,"2025-09-28 08:15:20",5.9,"2025-09-28 07:30:20",2.8,"013CAMPBELLCV50G2611VUE50B0001241"
"2025-09-30 00:00:00",10,0,0,310,13.32849,2.109,79.02,0,9.61,"2025-09-29 13:15:20",24.62,31.9,"2025-09-29 14:45:20",15.8,"2025-09-29 05:30:20",9.691655,-86.4,-40.9966,"2025-09-29 14:45:20",-129.6195,"2025-09-29 06:15:20",898.3,"2025-09-29 09:30:20",894.5,"2025-09-29 15:30:20",0.5,0.2,34.5,14.7,-3.2,"2025-09-29 15:00:20",-6.7,"2025-09-29 09:45:20",6.4,"2025-09-29 09:45:20",2.8,"013CAMPBELLCV50G2611VUE50B0001241"
