TIMESTAMP,SlrFD_W_Avg,AirT_C_Avg,Rain_mm_Tot
2025-09-19T12:45:00Z,601.5,26.58,0
2025-09-19T13:00:00Z,NAN,NAN,NAN
2025-09-19T13:15:00Z,NAN,NAN,NAN
2025-09-19T14:30:00Z,397.5,27,0
2025-09-19T14:45:00Z,354.8,26.7,0
2025-09-19T15:00:00Z,410.4,26.7,0
2025-09-19T15:15:00Z,418.2,26.8,0
2025-09-19T15:30:00Z,367.3,27,0
2025-09-19T15:45:00Z,321.9,26.9,0
2025-09-19T16:00:00Z,411.6,27.2,0
2025-09-19T16:15:00Z,342,27.3,0
2025-09-19T16:30:00Z,410.6,27.3,0
2025-09-19T16:45:00Z,443.8,27.5,0
2025-09-19T17:00:00Z,422.2,27.6,0
2025-09-19T17:15:00Z,260.3,27.4,0
2025-09-19T17:30:00Z,168.1,26.91,0
2025-09-19T17:45:00Z,99.6,26.5,0
2025-09-19T18:00:00Z,46.49,26.2,0
2025-09-19T18:15:00Z,18.41,25.61,0
2025-09-19T18:30:00Z,0.696,25.4,0
2025-09-19T18:45:00Z,0.006,24.02,0
2025-09-19T19:00:00Z,0,22.71,0
2025-09-19T19:15:00Z,0,22.5,0
2025-09-19T19:30:00Z,0,21.91,0
2025-09-19T19:45:00Z,0,21.11,0
2025-09-19T20:00:00Z,0,21,0
2025-09-19T20:15:00Z,0,21.3,0
2025-09-19T20:30:00Z,0,20.71,0
2025-09-19T20:45:00Z,0,20.11,0
2025-09-19T21:00:00Z,0,20.3,0
2025-09-19T21:15:00Z,0,20.89,0
2025-09-19T21:30:00Z,0,19.81,0
2025-09-19T21:45:00Z,0,19.4,0
2025-09-19T22:00:00Z,0,19.3,0
2025-09-19T22:15:00Z,0,19.5,0
2025-09-19T22:30:00Z,0,19.6,0
2025-09-19T22:45:00Z,0,20.09,0
2025-09-19T23:00:00Z,0,20.5,0
2025-09-19T23:15:00Z,0,21.49,0
2025-09-19T23:30:00Z,0,22.19,0
2025-09-19T23:45:00Z,0,22,0
2025-09-20T00:00:00Z,0,21.9,0
2025-09-20T00:15:00Z,0,21.8,0
2025-09-20T00:30:00Z,0,21.6,0
2025-09-20T00:45:00Z,0,21.7,0
2025-09-20T01:00:00Z,0,21.6,0
2025-09-20T01:15:00Z,0,21.3,0
2025-09-20T01:30:00Z,0,21.2,0
2025-09-20T01:45:00Z,0,20.9,0
2025-09-20T02:00:00Z,0,21.1,0
2025-09-20T02:15:00Z,0,21.2,0
2025-09-20T02:30:00Z,0,21.3,0
2025-09-20T02:45:00Z,0,21.4,0
2025-09-20T03:00:00Z,0,21.8,0
2025-09-20T03:15:00Z,0,21.9,0
2025-09-20T03:30:00Z,0,21.6,0
2025-09-20T08:15:00Z,0,21.4,0
2025-09-20T08:30:00Z,217.8,20.3,0
2025-09-20T08:45:00Z,171,20.7,0
2025-09-20T09:00:00Z,136.4,20.6,0
2025-09-20T09:15:00Z,124.9,20.5,0
2025-09-20T09:30:00Z,163.9,20.7,0
2025-09-20T09:45:00Z,161.6,20.9,0
2025-09-20T10:00:00Z,136.8,21,0
2025-09-20T10:15:00Z,122.7,21,0
2025-09-20T10:30:00Z,219.5,21.2,0
2025-09-20T10:45:00Z,387.9,21.69,0
2025-09-20T11:00:00Z,345.7,22.1,0
2025-09-20T11:15:00Z,363.7,22.2,0
2025-09-20T11:30:00Z,300.4,22.3,0
2025-09-20T11:45:00Z,247.7,22.4,0
2025-09-20T12:00:00Z,160.2,22.4,0
2025-09-20T12:15:00Z,162.7,22.3,0
2025-09-20T12:30:00Z,195.7,22.5,0
2025-09-20T12:45:00Z,169.8,22.8,0
2025-09-20T13:00:00Z,133.6,22.9,0
2025-09-20T13:15:00Z,140.4,22.9,0
2025-09-20T13:30:00Z,149.3,23.2,0
2025-09-20T13:45:00Z,142.5,23.3,0
2025-09-20T14:00:00Z,159.8,23.7,0
2025-09-20T14:15:00Z,216.7,23.8,0
2025-09-20T14:30:00Z,286.9,24.2,0
2025-09-20T14:45:00Z,256.1,24.4,0
2025-09-20T15:00:00Z,276.2,24.5,0
2025-09-20T15:15:00Z,263.7,24.7,0
2025-09-20T15:30:00Z,231.6,24.9,0
2025-09-20T15:45:00Z,229.6,24.9,0
2025-09-20T16:00:00Z,234.6,25.1,0
2025-09-20T16:15:00Z,274.8,25.1,0
2025-09-20T16:30:00Z,346.6,25.2,0
2025-09-20T16:45:00Z,402.1,26.09,0
2025-09-20T17:00:00Z,399.5,26.3,0
2025-09-20T17:15:00Z,306.4,26.5,0
2025-09-20T17:30:00Z,244.5,26.4,0
2025-09-20T17:45:00Z,178,26.1,0
2025-09-20T18:00:00Z,112,25.41,0
2025-09-20T18:15:00Z,42.77,23.92,0
2025-09-20T18:30:00Z,3.236,21.92,0
2025-09-20T18:45:00Z,0.031,21.01,0
2025-09-20T19:00:00Z,0,20.21,0
2025-09-20T19:15:00Z,0,19.71,0
2025-09-20T19:30:00Z,0,19.5,0
2025-09-20T19:45:00Z,0,18.81,0
2025-09-20T20:00:00Z,0,18.9,0
2025-09-20T20:15:00Z,0,18.7,0
2025-09-20T20:30:00Z,0,18.9,0
2025-09-20T20:45:00Z,0,18.6,0
2025-09-20T21:00:00Z,0,19.39,0
2025-09-20T21:15:00Z,0,19.3,0
2025-09-20T21:30:00Z,0,18.31,0
2025-09-20T21:45:00Z,0,18.3,0
2025-09-20T22:00:00Z,0,18.3,0
2025-09-20T22:15:00Z,0,18.4,0
2025-09-20T22:30:00Z,0,17.11,0
2025-09-20T22:45:00Z,0,16.41,0
2025-09-20T23:00:00Z,0,16.4,0
2025-09-20T23:15:00Z,0,16.1,0
2025-09-20T23:30:00Z,0,16.3,0
2025-09-20T23:45:00Z,0,16.3,0
2025-09-21T00:00:00Z,0,17.59,0
2025-09-21T00:15:00Z,0,17.9,0
2025-09-21T00:30:00Z,0,17.9,0
2025-09-21T00:45:00Z,0,18,0
2025-09-21T01:00:00Z,0,18.59,0
2025-09-21T01:15:00Z,0,18.4,0
2025-09-21T01:30:00Z,0,18.7,0
2025-09-21T01:45:00Z,0,19.29,0
2025-09-21T02:00:00Z,0,18.11,0
2025-09-21T02:15:00Z,0,18.69,0
2025-09-21T02:30:00Z,0,19.29,0
2025-09-21T02:45:00Z,0,18.81,0
2025-09-21T03:00:00Z,0,18.8,0
2025-09-21T03:15:00Z,0,18.7,0
2025-09-21T03:30:00Z,0,18.3,0
2025-09-21T03:45:00Z,0,18.1,0
2025-09-21T04:00:00Z,0,18.3,0
2025-09-21T04:15:00Z,0,17.81,0
2025-09-21T04:30:00Z,0,18.2,0
2025-09-21T04:45:00Z,0,18.4,0
2025-09-21T05:00:00Z,0,17.81,0
2025-09-21T05:15:00Z,0,17.21,0
2025-09-21T05:30:00Z,0,17.89,0
2025-09-21T05:45:00Z,0,18.59,0
2025-09-21T06:00:00Z,0,18.8,0
2025-09-21T06:15:00Z,0,19.59,0
2025-09-21T06:30:00Z,3.956,20.09,0
2025-09-21T06:45:00Z,16.76,19.9,0
2025-09-21T07:00:00Z,34.5,20.2,0
2025-09-21T07:15:00Z,73.27,20.89,0
2025-09-21T07:30:00Z,113.4,22.28,0
2025-09-21T07:45:00Z,167.6,24.08,0
2025-09-21T08:00:00Z,179.1,24.59,0
2025-09-21T08:15:00Z,234.7,24.8,0
2025-09-21T08:30:00Z,403.6,25.99,0
2025-09-21T08:45:00Z,395.5,26.49,0
2025-09-21T09:00:00Z,404.7,27.09,0
2025-09-21T09:15:00Z,464.8,27.4,0
2025-09-21T09:30:00Z,546.2,27.89,0
2025-09-21T09:45:00Z,625.7,28.2,0
2025-09-21T10:00:00Z,686.9,27.8,0
2025-09-21T10:15:00Z,740.4,27.9,0
2025-09-21T10:30:00Z,794.4,28,0
2025-09-21T10:45:00Z,836,28.3,0
2025-09-21T11:00:00Z,880,28.3,0
2025-09-21T11:15:00Z,931,28.4,0
2025-09-21T11:30:00Z,953,28.5,0
2025-09-21T11:45:00Z,980,28.9,0
2025-09-21T12:00:00Z,1023,29.3,0
2025-09-21T12:15:00Z,784.8,29.3,0
2025-09-21T12:30:00Z,394.4,28.31,0
2025-09-21T12:45:00Z,388.8,28.2,0
2025-09-21T13:00:00Z,569.3,28.6,0
2025-09-21T13:15:00Z,495.8,29.09,0
2025-09-21T13:30:00Z,754.8,29.3,0
2025-09-21T13:45:00Z,641.5,29.3,0
2025-09-21T14:00:00Z,859,29.99,0
2025-09-21T14:15:00Z,869,30.59,0
2025-09-21T14:30:00Z,616.1,30.2,0
2025-09-21T14:45:00Z,875,30.4,0
2025-09-21T15:00:00Z,867,30.2,0
2025-09-21T15:15:00Z,737.6,30.1,0
2025-09-21T15:30:00Z,784.4,30.3,0
